pr_auc,roc_auc,f1,precision,recall,mcc,brier,threshold,tn,fp,fn,tp,cost_5fn_1fp,fold
0.1398132718498808,0.679993499106127,0.07142857142857142,0.14285714285714285,0.047619047619047616,0.045925596505613724,0.06819025427103043,0.5,287,6,20,1,106.0,1
0.21841655958202,0.6689419795221843,0.16666666666666666,0.6666666666666666,0.09523809523809523,0.23581105886228038,0.05966489017009735,0.5,292,1,19,2,96.0,2
0.16995279898996657,0.713481228668942,0.2,0.3,0.15,0.17537767816689648,0.06430308520793915,0.5,286,7,17,3,92.0,3
0.20309098666180025,0.6475864318330072,0.08333333333333333,0.3333333333333333,0.047619047619047616,0.10468813459195173,0.0624447837471962,0.5,290,2,20,1,102.0,4
0.25577439176906036,0.7338551859099804,0.08,0.25,0.047619047619047616,0.08318119856730032,0.059135206043720245,0.5,289,3,20,1,103.0,5
