pr_auc,roc_auc,f1,precision,recall,mcc,brier,threshold,tn,fp,fn,tp,cost_5fn_1fp,fold
0.18998110425233583,0.7870957256622786,0.08333333333333333,0.3333333333333333,0.047619047619047616,0.10475854119368562,0.06472421188294793,0.5,291,2,20,1,102.0,1
0.13462897820531183,0.7155858930602959,0.0,0.0,0.0,-0.02629397647490914,0.07140156012644833,0.5,290,3,21,0,108.0,2
0.09563692907442456,0.6054607508532424,0.0,0.0,0.0,-0.03328823981760964,0.07233019425313748,0.5,288,5,20,0,105.0,3
0.250636019387913,0.7371167645140247,0.16666666666666666,0.6666666666666666,0.09523809523809523,0.23575767910107528,0.06177954917342914,0.5,291,1,19,2,96.0,4
0.16676686404841656,0.6637312459230267,0.08695652173913043,0.5,0.047619047619047616,0.13876279068521113,0.06531034591373534,0.5,291,1,20,1,101.0,5
