pr_auc,roc_auc,f1,precision,recall,mcc,brier,threshold,tn,fp,fn,tp,cost_5fn_1fp,fold
0.14429486362494937,0.6614659515683405,0.07142857142857142,0.14285714285714285,0.047619047619047616,0.045925596505613724,0.0677751898765564,0.5,287,6,20,1,106.0,1
0.21241159668070078,0.6899073622623111,0.17391304347826086,1.0,0.09523809523809523,0.29906243401393534,0.06051460653543472,0.5,293,0,19,2,95.0,2
0.189906568700009,0.739419795221843,0.14285714285714285,0.25,0.1,0.1232373058736664,0.06415452808141708,0.5,287,6,18,2,96.0,3
0.1844749097957407,0.6439986953685585,0.07692307692307693,0.2,0.047619047619047616,0.06768647564019048,0.06486546993255615,0.5,288,4,20,1,104.0,4
0.23546643672980117,0.7566862361382909,0.08,0.25,0.047619047619047616,0.08318119856730032,0.059354837983846664,0.5,289,3,20,1,103.0,5
