pr_auc,roc_auc,f1,precision,recall,mcc,brier,threshold,tn,fp,fn,tp,cost_5fn_1fp,fold
0.23132754655534207,0.783195189338534,0.14814814814814814,0.3333333333333333,0.09523809523809523,0.14887071566653165,0.0634672538549185,0.5,289,4,19,2,99.0,1
0.14517901744552722,0.7614171948642938,0.06666666666666667,0.1111111111111111,0.047619047619047616,0.030415529474090267,0.07061307383864145,0.5,285,8,20,1,108.0,2
0.09864975936778943,0.6170648464163822,0.06451612903225806,0.09090909090909091,0.05,0.02107823909441114,0.07602116026721907,0.5,283,10,19,1,105.0,3
0.20797912472498836,0.7208088714938029,0.14285714285714285,0.2857142857142857,0.09523809523809523,0.13216750969266228,0.063279425628416,0.5,287,5,19,2,100.0,4
0.1742655411254009,0.6700913242009132,0.07692307692307693,0.2,0.047619047619047616,0.06768647564019048,0.06504608264959169,0.5,288,4,20,1,104.0,5
