pr_auc,roc_auc,f1,precision,recall,mcc,brier,threshold,tn,fp,fn,tp,cost_5fn_1fp,fold
0.17414855350215583,0.7625548512920527,0.08,0.25,0.047619047619047616,0.08326711849049323,0.06746430156792878,0.5,290,3,20,1,103.0,1
0.16183926231925982,0.712335446123842,0.0,0.0,0.0,-0.02629397647490914,0.0687052966457537,0.5,290,3,21,0,108.0,2
0.1043056123371239,0.6525597269624573,0.0,0.0,0.0,-0.03652478137786581,0.07121764058288833,0.5,287,6,20,0,106.0,3
0.1454272264406326,0.6744944553163731,0.08333333333333333,0.3333333333333333,0.047619047619047616,0.10468813459195173,0.0666070045250625,0.5,290,2,20,1,102.0,4
0.15026711888933383,0.6506849315068493,0.0,0.0,0.0,-0.03051188069717566,0.0673662213305663,0.5,288,4,21,0,109.0,5
