pr_auc,roc_auc,f1,precision,recall,mcc,brier,threshold,tn,fp,fn,tp,cost_5fn_1fp,fold
0.1615817112678836,0.7266374126442385,0.0,0.0,0.0,-0.021434508922500487,0.06575036814958546,0.5,291,2,21,0,107.0,1
0.175368090589535,0.6806435884934179,0.0,0.0,0.0,0.0,0.06423612182739065,0.5,293,0,21,0,105.0,2
0.16885548696037836,0.7303754266211604,0.08333333333333333,0.25,0.05,0.08657607197525685,0.06390341924570019,0.5,290,3,19,1,98.0,3
0.181248480738874,0.6296477495107632,0.0,0.0,0.0,-0.021505672357117596,0.062182233403806,0.5,290,2,21,0,107.0,4
0.21159952213299627,0.7672863666014351,0.0,0.0,0.0,-0.03051188069717566,0.06558863765899138,0.5,288,4,21,0,109.0,5
