pr_auc,roc_auc,f1,precision,recall,mcc,brier,threshold,tn,fp,fn,tp,cost_5fn_1fp,fold
0.22717600164727605,0.7648301641475702,0.20689655172413793,0.375,0.14285714285714285,0.19943060024938178,0.0627060018731984,0.5,288,5,18,3,95.0,1
0.1303994286895659,0.7176986835689907,0.0,0.0,0.0,-0.05336579563410579,0.08007742742908742,0.5,281,12,21,0,117.0,2
0.12301902532112974,0.6699658703071673,0.0625,0.08333333333333333,0.05,0.015867195813072308,0.0765967624254324,0.5,282,11,19,1,106.0,3
0.16975734206363524,0.7139595564253098,0.06896551724137931,0.125,0.047619047619047616,0.03748625161911348,0.06949220717400192,0.5,285,7,20,1,107.0,4
0.13174140192534922,0.6449771689497716,0.07692307692307693,0.2,0.047619047619047616,0.06768647564019048,0.07016765641811983,0.5,288,4,20,1,104.0,5
