pr_auc,roc_auc,f1,precision,recall,mcc,brier,threshold,tn,fp,fn,tp,cost_5fn_1fp,fold
0.21634958165943574,0.7974971558589306,0.13333333333333333,0.2222222222222222,0.09523809523809523,0.10681933951300501,0.06631312903935757,0.5,286,7,19,2,102.0,1
0.13927127475528361,0.7302129042743377,0.0,0.0,0.0,-0.040425525067815674,0.07043823782006607,0.5,286,7,21,0,112.0,2
0.10060893815918628,0.6397610921501706,0.0,0.0,0.0,-0.04746351235910595,0.07667712427899812,0.5,283,10,20,0,110.0,3
0.217842406632287,0.7588062622309198,0.2,0.3333333333333333,0.14285714285714285,0.18310581799696468,0.06242552002046411,0.5,286,6,18,3,96.0,4
0.21420952342426877,0.6679712981082844,0.13793103448275862,0.25,0.09523809523809523,0.11840484994175154,0.06291956058377891,0.5,286,6,19,2,101.0,5
