feature,importance,importance_std,method
577,0.027997615924912234,0.0,mutual_info
477,0.026712941668976198,0.0,mutual_info
541,0.026077388474596175,0.0,mutual_info
331,0.025896508912722993,0.0,mutual_info
406,0.025753981118284086,0.0,mutual_info
33,0.024633043511515185,0.0,mutual_info
41,0.024152048967583273,0.0,mutual_info
130,0.024122347678358746,0.0,mutual_info
428,0.02320654320752369,0.0,mutual_info
573,0.0231591513854843,0.0,mutual_info
122,0.022816914193965365,0.0,mutual_info
571,0.02233378741183545,0.0,mutual_info
570,0.02203912291539467,0.0,mutual_info
288,0.021445258757571084,0.0,mutual_info
277,0.0210867625366582,0.0,mutual_info
416,0.02083073325388729,0.0,mutual_info
65,0.020743827295262474,0.0,mutual_info
40,0.020471275555858925,0.0,mutual_info
528,0.020458743773151822,0.0,mutual_info
443,0.01987817679194026,0.0,mutual_info
56,0.019841981868057745,0.0,mutual_info
405,0.01979882073851047,0.0,mutual_info
2,0.01941422361854972,0.0,mutual_info
407,0.019407339002808,0.0,mutual_info
589,0.01929967422274892,0.0,mutual_info
413,0.018951382664469385,0.0,mutual_info
574,0.018753036721565364,0.0,mutual_info
6,0.018551748006336632,0.0,mutual_info
70,0.0183538458012944,0.0,mutual_info
127,0.018312815461833498,0.0,mutual_info
510,0.018281627867379635,0.0,mutual_info
519,0.01823391599393398,0.0,mutual_info
310,0.017883444820200545,0.0,mutual_info
467,0.017429143245222045,0.0,mutual_info
583,0.017426263206916648,0.0,mutual_info
132,0.01735253522820268,0.0,mutual_info
447,0.01729423273608055,0.0,mutual_info
126,0.017198131079569023,0.0,mutual_info
131,0.016753710952429834,0.0,mutual_info
412,0.01675010784125619,0.0,mutual_info
125,0.01673178183120272,0.0,mutual_info
545,0.016575634023165753,0.0,mutual_info
307,0.016463422539426453,0.0,mutual_info
128,0.016119905133342716,0.0,mutual_info
274,0.01611790010009484,0.0,mutual_info
411,0.016091219365188092,0.0,mutual_info
575,0.016080417986863438,0.0,mutual_info
414,0.016074185502146676,0.0,mutual_info
273,0.01590559935156599,0.0,mutual_info
177,0.01587803403500221,0.0,mutual_info
19,0.015524935968574072,0.0,mutual_info
134,0.015319277534644016,0.0,mutual_info
205,0.015269850946512342,0.0,mutual_info
39,0.015235601287683531,0.0,mutual_info
576,0.015091634663822573,0.0,mutual_info
174,0.015018771050191448,0.0,mutual_info
91,0.01490331480133511,0.0,mutual_info
138,0.01481862719793714,0.0,mutual_info
275,0.014703358380391052,0.0,mutual_info
268,0.014557745282037127,0.0,mutual_info
38,0.014410855738187678,0.0,mutual_info
312,0.014397111878778679,0.0,mutual_info
572,0.014205903787140262,0.0,mutual_info
561,0.014168841973484003,0.0,mutual_info
140,0.014130291948725615,0.0,mutual_info
124,0.013954067227057498,0.0,mutual_info
588,0.01393303737331042,0.0,mutual_info
137,0.01389484888628778,0.0,mutual_info
308,0.013482342194176766,0.0,mutual_info
394,0.01341009256400083,0.0,mutual_info
133,0.013373529759780789,0.0,mutual_info
339,0.01319359848829671,0.0,mutual_info
542,0.012862645338096668,0.0,mutual_info
338,0.012842760810776177,0.0,mutual_info
88,0.012830475444766787,0.0,mutual_info
269,0.012676350942461001,0.0,mutual_info
37,0.01256739829150666,0.0,mutual_info
59,0.012162684713307614,0.0,mutual_info
247,0.01215763934465075,0.0,mutual_info
195,0.012037401696720407,0.0,mutual_info
424,0.011972676331100995,0.0,mutual_info
89,0.011951909799719829,0.0,mutual_info
210,0.011920122014735357,0.0,mutual_info
441,0.011729284304903276,0.0,mutual_info
540,0.011715004599061274,0.0,mutual_info
323,0.011681045666655843,0.0,mutual_info
103,0.011622611254872073,0.0,mutual_info
305,0.011538860258701433,0.0,mutual_info
184,0.01149788236564575,0.0,mutual_info
36,0.01145211449447725,0.0,mutual_info
539,0.011432758084782835,0.0,mutual_info
113,0.01130295622328159,0.0,mutual_info
212,0.011279340544229521,0.0,mutual_info
415,0.011261077452085377,0.0,mutual_info
57,0.01119627764749409,0.0,mutual_info
352,0.011162861598638774,0.0,mutual_info
290,0.01113267458177769,0.0,mutual_info
3,0.011130517182410982,0.0,mutual_info
143,0.011117860576854932,0.0,mutual_info
173,0.011094976310918714,0.0,mutual_info
78,0.010929794748808286,0.0,mutual_info
289,0.010780272956541825,0.0,mutual_info
27,0.01073416103649616,0.0,mutual_info
180,0.010667457412201209,0.0,mutual_info
35,0.010646277500286683,0.0,mutual_info
225,0.010511271697855706,0.0,mutual_info
497,0.010492202196446199,0.0,mutual_info
58,0.010416903156952095,0.0,mutual_info
64,0.010212113124984823,0.0,mutual_info
153,0.010136266802609484,0.0,mutual_info
526,0.010063738498677699,0.0,mutual_info
366,0.010019492633109417,0.0,mutual_info
466,0.010002566256873902,0.0,mutual_info
267,0.009994925651707343,0.0,mutual_info
309,0.009951184531397983,0.0,mutual_info
478,0.009835826471648046,0.0,mutual_info
448,0.009795247362822668,0.0,mutual_info
313,0.009576015284553652,0.0,mutual_info
533,0.009554702264346293,0.0,mutual_info
171,0.009540626627604354,0.0,mutual_info
374,0.009470327692389757,0.0,mutual_info
21,0.009397766249821027,0.0,mutual_info
446,0.009371725411903897,0.0,mutual_info
495,0.0093445313328826,0.0,mutual_info
11,0.009339991470170173,0.0,mutual_info
432,0.009271799634332778,0.0,mutual_info
543,0.009232863687224535,0.0,mutual_info
55,0.009212834155713612,0.0,mutual_info
361,0.009164858014189647,0.0,mutual_info
139,0.009147119600139586,0.0,mutual_info
9,0.009118108723055629,0.0,mutual_info
560,0.008997859833590693,0.0,mutual_info
567,0.008901178073079663,0.0,mutual_info
172,0.008874505824455259,0.0,mutual_info
63,0.008787549546085849,0.0,mutual_info
282,0.008772731289106384,0.0,mutual_info
84,0.008707521447518074,0.0,mutual_info
586,0.008558787598313522,0.0,mutual_info
28,0.008547836390427666,0.0,mutual_info
25,0.008500971200161134,0.0,mutual_info
34,0.008465870268850484,0.0,mutual_info
425,0.008411016878606903,0.0,mutual_info
490,0.008408982906704221,0.0,mutual_info
170,0.0083534338062341,0.0,mutual_info
551,0.008330473785456594,0.0,mutual_info
14,0.008303759146545575,0.0,mutual_info
119,0.008274737360708384,0.0,mutual_info
498,0.008265825994823839,0.0,mutual_info
341,0.008225913400809581,0.0,mutual_info
287,0.008225640538036316,0.0,mutual_info
109,0.008200851216353389,0.0,mutual_info
324,0.008198876011737077,0.0,mutual_info
112,0.008182312335913045,0.0,mutual_info
370,0.008012499590916988,0.0,mutual_info
306,0.007809793736371251,0.0,mutual_info
98,0.007773978870902809,0.0,mutual_info
32,0.007608809167473085,0.0,mutual_info
384,0.007587407991957562,0.0,mutual_info
492,0.007584106950735636,0.0,mutual_info
343,0.007575591790939251,0.0,mutual_info
485,0.007552977166092045,0.0,mutual_info
452,0.007538475188165528,0.0,mutual_info
489,0.007491194743620477,0.0,mutual_info
263,0.00723965544685834,0.0,mutual_info
259,0.007155759299538156,0.0,mutual_info
383,0.007036586335319228,0.0,mutual_info
175,0.006928648631153722,0.0,mutual_info
82,0.006818952279207924,0.0,mutual_info
79,0.006813781497673199,0.0,mutual_info
146,0.00671012084325473,0.0,mutual_info
480,0.00661155992304252,0.0,mutual_info
147,0.006608252973464124,0.0,mutual_info
182,0.006569493585249386,0.0,mutual_info
192,0.006565570298802115,0.0,mutual_info
445,0.0064248156569919335,0.0,mutual_info
454,0.006341513756339401,0.0,mutual_info
500,0.006339517798437333,0.0,mutual_info
20,0.006332484381605719,0.0,mutual_info
53,0.006330772876400825,0.0,mutual_info
155,0.006313241238953049,0.0,mutual_info
245,0.0062311818099798355,0.0,mutual_info
358,0.006219168532145991,0.0,mutual_info
320,0.006175988680154232,0.0,mutual_info
123,0.0061631883309982705,0.0,mutual_info
15,0.006132869451726641,0.0,mutual_info
92,0.0061236767323211705,0.0,mutual_info
102,0.006111684197695144,0.0,mutual_info
233,0.0060443812165364985,0.0,mutual_info
474,0.006026168409566379,0.0,mutual_info
7,0.006002473611729897,0.0,mutual_info
437,0.005990516936404955,0.0,mutual_info
141,0.005990091545278187,0.0,mutual_info
87,0.005928169659736859,0.0,mutual_info
375,0.005877635581083229,0.0,mutual_info
433,0.005873048986228424,0.0,mutual_info
468,0.005872529184215214,0.0,mutual_info
61,0.0058623051231758705,0.0,mutual_info
213,0.005857850370488915,0.0,mutual_info
585,0.005836836570862536,0.0,mutual_info
30,0.005818774199026988,0.0,mutual_info
239,0.005807993292274549,0.0,mutual_info
74,0.005787800520309361,0.0,mutual_info
72,0.005646964542040722,0.0,mutual_info
487,0.005600188123085159,0.0,mutual_info
230,0.005546733394674375,0.0,mutual_info
553,0.0054674597140964565,0.0,mutual_info
333,0.00546452601914571,0.0,mutual_info
408,0.005364632625643129,0.0,mutual_info
17,0.005352038266691395,0.0,mutual_info
100,0.005348341040128046,0.0,mutual_info
517,0.005347216336277327,0.0,mutual_info
226,0.005226317217285503,0.0,mutual_info
368,0.005184559924929832,0.0,mutual_info
304,0.0051765305995714606,0.0,mutual_info
